ID,class,prob1,prob2
79,2,0.3443402978688125,0.6556597021311875
80,2,3.0122668260186137e-5,0.9999698773317398
82,1,0.824526316553159,0.17547368344684103
83,1,0.9529776414452757,0.04702235855472427
84,1,0.9087533721920994,0.09124662780790058
85,2,4.76859761299123e-5,0.9999523140238701
93,2,9.177868337308234e-5,0.9999082213166269
96,1,0.9432662186920995,0.05673378130790053
97,1,0.8562365372698371,0.14376346273016297
99,1,0.5292957204433595,0.47070427955664057
100,1,0.9516309617428108,0.04836903825718922
101,1,0.9738436677131332,0.02615633228686674
102,2,0.07880449375526245,0.9211955062447376
103,1,0.9890554672789162,0.01094453272108379
105,2,0.02178636142203536,0.9782136385779646
106,2,0.037585786749160695,0.9624142132508392
107,1,0.9926331042371157,0.007366895762884325
108,1,0.7852585372448299,0.21474146275517011
109,1,0.9392191921987452,0.06078080780125478
110,1,0.7397159002833454,0.2602840997166546
112,1,0.9027346704137199,0.09726532958628008
113,1,0.9056331556768026,0.09436684432319746
114,2,0.27887210757570186,0.7211278924242981
116,2,0.41685523154917936,0.5831447684508206
117,1,0.8028973330685463,0.1971026669314537
118,1,0.961862404931682,0.03813759506831805
119,2,0.25934327590165157,0.7406567240983484
120,2,0.09054996731938518,0.9094500326806149
121,2,0.4006861605358498,0.5993138394641501
123,2,0.2734148336802838,0.7265851663197163
124,1,0.8389710476594572,0.16102895234054282
126,1,0.7173519999607881,0.28264800003921187
129,1,0.5353187444171718,0.4646812555828282
130,1,0.8146762885040115,0.1853237114959884
131,1,0.9280156907562869,0.07198430924371324
132,2,0.010698320655207927,0.9893016793447921
133,1,0.6975980829158346,0.3024019170841654
134,2,0.4615766394811043,0.5384233605188958
136,2,0.22240223207371326,0.7775977679262868
137,2,0.19942789269783878,0.8005721073021612
138,1,0.986625945139147,0.013374054860853045
139,1,0.5163117692424376,0.4836882307575625
140,1,0.5399427983023023,0.4600572016976976
143,1,0.5531071206738907,0.44689287932610927
144,2,0.013711519584088365,0.9862884804159116
145,2,0.47893223752642194,0.5210677624735781
146,1,0.8571400662934926,0.1428599337065074
148,1,0.9933726989316868,0.006627301068313274
